identifier,d_interlayer,bond_average,bond_equatorial,bond_axial,angleXMX_average,angleXMX_equatorial,angleXMX_axial,angleMXM_average
395,5.45026914123889,3.2274852745308453,3.2104671286631916,3.261521566266152,179.1905453243908,179.0949694227078,179.3816971277568,146.92619956543817
396,5.8765198202709445,3.183451204539908,3.16885229873808,3.212649016143563,173.03838348751398,172.44913424216188,174.21688197821817,163.1648451322275
397,5.986953800782031,3.198715079779704,3.1731467974954413,3.2498516443482295,174.67229350992025,176.55651168212708,170.90385716550654,150.7898982206237
398,5.918015146714388,3.226184592564259,3.2198857863732413,3.2387822049462947,172.62896494475936,175.09644861618168,167.69399760191482,174.30793492835681
399,6.120168310958958,3.2133934372659447,3.2107744907064957,3.2186313303848433,167.3328354492019,167.40912930920615,167.1802477291934,164.44360738664872
400,6.126001066352073,3.2421737848340055,3.2357257325245854,3.2550698894528454,170.97943518469432,172.51451154888093,167.9092824563211,149.10731700920667
401,6.318452581153922,3.255242373146395,3.294216009654231,3.177295100130726,168.20702724214058,168.24788379315706,168.1253141401076,156.46958603876536
402,13.525888194935536,3.1724973666941643,3.145609996047755,3.226272107986983,170.60584576311894,168.86541879929456,174.08669969076777,163.92356199426155
403,13.39292971439339,3.1993137236884546,3.1872420061415463,3.223457158782269,171.54735372299422,171.81780038594172,171.0064603970992,148.6369948027678
404,13.385708711736925,3.2392438413162314,3.2460594436732757,3.225612636602142,170.49051592189812,171.71682402366432,168.03789971836568,143.73826328474607
405,12.862392127213345,3.228777655202483,3.2197342353276888,3.2468644949520717,165.33590426485452,163.811461164695,168.38479046517358,156.62912060010427
406,13.412933512420725,3.1939547266788364,3.1801075884245327,3.2216490031874443,166.27555470466947,163.67983008841725,171.4670039371739,158.3564458581252
439,3.6970222117533744,3.220643773394647,3.2364125958809766,3.1891061284219875,175.00251867411524,173.80187499584568,177.40380603065444,136.09111037112402
440,4.099182114009006,3.2141319590140895,3.212153607533244,3.2180886619757807,175.41443223723437,174.36552992536093,177.5122368609813,144.38369013639195
441,3.970011471093647,3.2177491301982144,3.197150719856186,3.2589459508822705,172.6735528812536,171.82959655522563,174.3614655333095,145.01179107100234
461,14.333334487605383,3.227908307656581,3.2393862509740723,3.2049524210215994,170.9981112055642,170.70804666839607,171.5782402799003,152.15888611706276
462,14.024685187476793,3.216128740675893,3.2306377972768656,3.1871106274739462,170.27161730225848,170.87544733290088,169.0639572409737,147.24312633510948
463,14.04178420442146,3.1949888275246217,3.1870489125973567,3.2108686573791525,170.77730084259997,169.56091163176774,173.2100792642645,146.85336589373748
464,13.449944990029419,3.2776834899518277,3.30766049565646,3.2177294785425627,165.12438716658863,167.21044108754734,160.95227932467122,149.01579754456918
481,13.420379207057684,3.189541487814321,3.178645890773087,3.211332681896791,173.69856081009934,173.18806077505613,174.71956088018567,147.59779813853186
482,13.251940632698561,3.23757819316854,3.2419460221928422,3.2288425351199352,169.96022058668282,170.97918533146085,167.92229109712676,146.01520461197077
490,13.738233259056724,3.2018293255663237,3.1954510722242873,3.214585832250395,171.59426740045663,170.22132694303656,174.34014831529683,148.96524337637226
491,12.696631799437984,3.2866379949945252,3.308481211587101,3.242951561809374,169.15137103141808,172.25417298850783,162.94576711723857,145.13396811878607
492,12.982712965433072,3.173572860421885,3.143517312248048,3.233683956769558,171.50493350539367,171.87794433611498,170.75891184395107,164.6271195730991
509,13.57436881823967,3.2040193132937063,3.192204424826542,3.227649090228035,169.14258440007174,166.806625382507,173.8145024352012,152.86659567562614
510,13.238936082110207,3.236333525936067,3.2435678104122996,3.2218649569836,170.43768300568698,171.9354872277584,167.44207456154425,148.5772472780913
511,13.20163365744521,3.222623393602735,3.217193904032255,3.2334823727436963,172.06727982594057,171.2025096110655,173.79682025569082,149.40735775327573
634,3.648323679036544,3.2049820661508064,3.2130428287007504,3.188860541050917,177.85051198950063,177.64520211303554,178.26113174243076,153.41686486044955
635,3.940348139388413,3.2139043858895917,3.1895173995184276,3.2626783586319204,173.69878251990465,173.44373879607997,174.20886996755405,144.46625835424504
638,3.572265975946861,3.217235242560521,3.2291145783601,3.193476570961362,177.13352783157782,176.5419610858196,178.3166613230944,137.15974377480507
640,4.065745215537655,3.214850366977037,3.2057248194237538,3.2331014620836047,171.47222775859996,170.0568563542367,174.30297056732655,145.4501747200842
641,4.030214129823637,3.201934941547247,3.2011450367112153,3.203514751219311,179.0126319917596,178.85528026055195,179.327335454175,143.26547543296402
768,13.028708376946916,3.1583438444614145,3.1415085394283393,3.1920144545275644,176.08008041498803,175.30514995245426,177.62994134005547,162.50418299985617
942,13.370367911581472,3.2059678491212438,3.1785727849483467,3.2607579774670383,171.1558541913183,171.3704302125414,170.72670214887214,147.2392567443088
979,12.508982985275889,3.164118323700188,3.14809890613502,3.1961571588305238,172.08957810205558,171.23207516943722,173.8045839672923,156.95827068360558
1190,12.51460190842755,3.169146564616801,3.1600118084439304,3.1874160769625433,172.0540693483276,170.29613658836,175.56993486826278,159.88263251576507
1204,12.77023004704396,3.224856766145688,3.2152098975228256,3.2441505033914115,170.86158783866497,170.8099228415701,170.96491783285467,145.89016708108917
1212,10.992985409723625,3.195892199290346,3.1770307791180405,3.233615039634956,170.02073612971256,170.29077288456915,169.48066261999944,158.40124004093317
1667,3.8305256773939513,3.1703457245933677,3.1714006285722802,3.1682359166355423,173.25422187025677,171.36378855297258,177.03508850482513,142.18254992136954
1668,3.7749336864227026,3.1918662969734775,3.198284645213369,3.179029600493693,170.81226606359735,168.31047128637323,175.8158556180456,140.6215805661339
1672,4.0023884854405996,3.222058432937704,3.215603959651242,3.2349673795106266,173.33995863997606,173.11009916598368,173.79967758796073,153.69791802460892
1673,3.8073731450275794,3.2012980340738806,3.200922160533335,3.2020497811549724,175.78750516611782,175.2912966107276,176.77992227689822,152.89087634046084
1674,4.009112451617778,3.1953990767190597,3.1766620713323825,3.2328730874924156,174.52235994081107,173.27021740913935,177.0266450041545,145.38688428854388
1675,4.017634685270756,3.186845527413293,3.172148591676981,3.2162393988859157,177.81109908006886,177.17214766790744,179.08900190439172,145.82054311414834
1676,4.566053148161128,3.199146924385374,3.1792906064334714,3.2388595602891783,179.61782683960658,179.61847817895963,179.61652416090047,143.6723884461328
