identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone
367,2,0.0,0.5,2,2,1.0,1,0,0,0,0,0
368,2,0.0,0.5,2,2,1.0,1,0,0,0,0,0
369,2,0.0,0.5,2,2,1.0,1,0,0,0,0,0
370,2,0.0,0.5,2,2,1.0,1,0,0,0,0,0
371,2,0.0,0.5,2,2,1.0,0,1,0,0,0,0
372,2,0.0,0.5,2,2,1.0,0,1,0,0,0,0
373,2,0.0,0.5,2,2,1.0,0,1,0,0,0,0
374,2,0.0,0.5,2,2,1.0,0,0,0,0,1,0
375,2,0.0,0.5,2,2,1.0,0,0,0,0,1,0
376,1,0.0,1.0,1,1,1.0,1,0,0,0,0,0
377,1,0.0,1.0,1,1,1.0,0,1,0,0,0,0
378,1,0.0,1.0,1,1,1.0,0,1,0,0,0,0
379,1,0.0,1.0,2,4,1.0,0,0,0,0,0,0
380,1,0.0,1.0,2,2,1.0,0,0,0,0,0,0
381,1,0.0,1.0,2,3,0.6666666666666666,0,0,0,0,0,0
382,1,0.0,1.0,2,3,1.0,1,0,0,0,0,0
383,1,0.0,1.0,2,3,1.0,1,0,0,0,0,0
384,1,0.0,1.0,2,3,1.0,0,1,0,0,0,0
385,1,0.0,1.0,2,3,1.0,0,1,0,0,0,0
386,1,0.0,1.0,2,3,1.0,0,0,0,0,1,0
387,1,0.0,1.0,2,3,1.0,0,0,0,0,1,0
388,1,0.0,1.0,2,3,1.0,0,0,0,0,1,0
389,1,0.0,1.0,2,1,1.0,1,0,0,0,0,0
390,1,0.0,1.0,2,1,1.0,0,0,0,0,1,0
391,1,0.0,1.0,2,2,0.6666666666666666,0,1,0,0,0,0
392,1,0.0,1.0,2,2,0.6666666666666666,0,1,0,0,0,0
393,1,0.0,1.0,2,2,0.6666666666666666,0,1,0,0,0,0
394,1,0.0,1.0,2,2,0.6666666666666666,0,0,0,0,1,0
395,1,0.0,1.0,2,2,1.0,2,0,0,0,0,0
396,1,0.0,1.0,2,2,1.0,1,1,0,0,0,0
397,1,0.0,1.0,2,2,1.0,1,1,0,0,0,0
398,1,0.0,1.0,2,2,1.0,1,0,0,0,1,0
399,1,0.0,1.0,2,2,1.0,1,0,0,0,1,0
400,1,0.0,1.0,2,2,1.0,0,1,0,0,1,0
401,1,0.0,1.0,2,2,1.0,0,1,0,0,1,0
402,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
403,3,1.0,0.0,2,2,1.0,0,0,0,0,0,0
404,3,1.0,0.0,2,2,1.0,0,0,0,0,0,0
405,3,1.0,0.0,2,2,1.0,0,0,0,0,0,0
406,3,1.0,0.0,2,2,1.0,0,0,0,0,0,0
407,3,0.5,0.0,2,2,1.0,0,0,0,0,0,0
408,2,1.0,0.0,1,1,1.0,0,0,0,0,0,0
409,2,1.0,0.0,1,1,1.0,0,0,0,0,0,0
410,2,1.0,0.0,2,3,1.0,0,0,0,0,0,0
411,2,1.0,0.0,2,3,1.0,0,0,0,0,0,0
412,2,1.0,0.0,2,1,1.0,0,0,0,0,0,0
413,2,1.0,0.0,2,1,1.0,0,0,0,0,0,0
414,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
415,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
416,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
417,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
418,2,1.0,0.0,2,2,1.0,0,0,1,0,0,0
419,2,1.0,0.0,2,2,1.0,0,0,1,0,0,0
420,2,1.0,0.0,2,2,1.0,0,0,0,1,0,0
421,2,1.0,0.0,2,2,1.0,0,0,0,1,0,0
422,2,1.0,0.0,2,2,1.0,0,0,0,0,1,0
423,2,1.0,0.0,2,2,1.0,0,0,0,0,1,0
424,2,1.0,0.0,1,1,1.0,0,0,0,0,0,0
425,2,1.0,0.0,2,3,1.0,0,0,0,0,0,0
426,2,1.0,0.0,2,1,1.0,0,0,0,0,0,0
427,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
428,2,1.0,0.0,2,2,1.0,1,0,0,0,0,0
429,2,1.0,0.0,2,2,1.0,0,0,1,0,0,0
430,2,1.0,0.0,2,2,1.0,0,0,0,1,0,0
431,2,1.0,0.0,2,2,1.0,0,0,0,0,1,0
432,2,0.0,0.0,1,1,1.0,0,0,0,0,0,0
433,2,0.0,0.0,2,3,1.0,0,0,0,0,0,0
434,2,0.0,0.0,2,2,1.0,1,0,0,0,0,0
435,2,0.0,0.0,2,2,1.0,0,0,1,0,0,0
436,2,0.0,0.0,2,2,1.0,0,0,0,1,0,0
437,2,0.0,0.0,2,2,1.0,0,0,0,0,1,0
438,1,0.0,0.0,1,2,1.0,0,0,0,0,0,0
439,1,0.0,0.0,1,0,1.0,0,0,0,0,0,0
440,1,0.0,0.0,1,1,1.0,1,0,0,0,0,0
441,1,0.0,0.0,1,1,1.0,1,0,0,0,0,0
442,1,0.0,0.0,1,1,1.0,0,0,0,1,0,0
443,1,0.0,0.0,1,1,1.0,0,0,0,0,1,0
444,1,0.0,0.0,2,4,1.0,0,0,0,0,0,0
445,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0
446,1,0.0,0.0,2,3,1.0,1,0,0,0,0,0
447,1,0.0,0.0,2,3,1.0,1,0,0,0,0,0
448,1,0.0,0.0,2,3,1.0,0,0,1,0,0,0
449,1,0.0,0.0,2,3,1.0,0,0,0,1,0,0
450,1,0.0,0.0,2,3,1.0,0,0,0,0,1,0
451,1,0.0,0.0,2,1,1.0,1,0,0,0,0,0
452,1,0.0,0.0,2,1,1.0,1,0,0,0,0,0
453,1,0.0,0.0,2,1,1.0,0,0,0,0,1,0
454,1,0.0,0.0,2,2,1.0,2,0,0,0,0,0
455,1,0.0,0.0,2,2,1.0,1,0,0,0,1,0
